task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
94	9a/3eb46c	621934	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:15;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:04.994	18m 45s	18m 39s	931.3%	8.5 GB	9.8 GB	190.1 GB	198.5 GB
58	cb/cdbcbb	621897	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 16:13:03.595	20m 11s	20m 7s	844.3%	12.8 GB	14.1 GB	190 GB	198.5 GB
56	64/c056cd	621895	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:03.535	20m 47s	20m 41s	822.1%	8.9 GB	11 GB	190 GB	198.5 GB
82	9a/57d917	621922	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:13;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:04.525	20m 51s	20m 35s	842.7%	9.1 GB	11.3 GB	190 GB	198.5 GB
93	71/dfba48	621933	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:15;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:04.960	20m 50s	20m 47s	849.2%	7.6 GB	8.8 GB	190.2 GB	198.5 GB
81	5c/46d4b2	621921	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:13;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:04.476	21m 6s	20m 51s	827.2%	8.4 GB	9.7 GB	190.1 GB	198.5 GB
57	f3/7df4f6	621898	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:13:03.617	21m 21s	21m 19s	800.5%	10.9 GB	12.4 GB	190 GB	198.5 GB
55	d6/e18163	621896	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:03.562	21m 47s	21m 42s	784.8%	7 GB	9.4 GB	190 GB	198.5 GB
9	a7/c8f5d8	621848	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:17GB)	FAILED	137	2022-02-19 16:13:01.183	21m 54s	21m 35s	-	-	-	-	-
80	f6/85946c	621920	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:13;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:04.423	22m 51s	22m 34s	781.6%	7.5 GB	8.6 GB	190.1 GB	198.5 GB
68	95/892229	621907	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:11;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:03.982	25m 41s	25m 24s	674.5%	7.3 GB	8.3 GB	190.1 GB	198.5 GB
46	d0/6440fc	621886	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 16:13:03.244	25m 47s	25m 44s	657.1%	14.7 GB	15.7 GB	190 GB	198.5 GB
45	ad/bbbd26	621885	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 16:13:03.206	26m 2s	25m 59s	654.8%	12.7 GB	14 GB	190 GB	198.5 GB
43	95/7327c6	621883	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:03.135	26m 22s	26m 18s	643.2%	8.9 GB	10.8 GB	190 GB	198.5 GB
44	ea/b59e0c	621884	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:13:03.172	26m 47s	26m 44s	637.0%	10.8 GB	12.2 GB	190 GB	198.5 GB
92	30/783fed	621932	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:15;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:04.902	27m 5s	27m 1s	639.5%	10.5 GB	11.9 GB	190.6 GB	198.6 GB
41	54/c82e62	621881	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:03.066	28m 2s	27m 57s	600.8%	8.1 GB	9.2 GB	190 GB	198.5 GB
79	1b/c64402	621918	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:13;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:04.353	28m 6s	27m 48s	610.5%	9.9 GB	11 GB	190.5 GB	198.6 GB
42	e8/b3e3d6	621882	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:03.098	28m 42s	28m 41s	592.7%	7.2 GB	8 GB	190.1 GB	198.5 GB
54	d4/49d3a6	621893	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:03.464	29m 2s	28m 57s	591.6%	7.3 GB	8.2 GB	190.1 GB	198.5 GB
66	59/659582	621906	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:03.966	29m 51s	29m 36s	579.8%	7.5 GB	10.1 GB	190.4 GB	198.6 GB
53	17/85a608	621894	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:03.504	30m 7s	30m 5s	561.3%	8.4 GB	9.4 GB	190.4 GB	198.6 GB
40	9e/dbe271	621880	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:03.033	35m 37s	35m 36s	473.1%	7 GB	8.7 GB	190.3 GB	198.6 GB
29	4e/3fe059	621870	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:02.684	36m 12s	35m 56s	464.2%	8.1 GB	9.1 GB	190 GB	198.5 GB
28	57/e968f8	621868	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:02.615	37m 58s	37m 41s	450.6%	6.2 GB	7.7 GB	190 GB	198.5 GB
30	7c/5a0007	621869	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:02.654	37m 58s	37m 39s	441.6%	9 GB	10.7 GB	190 GB	198.5 GB
67	13/6ae709	621908	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:11;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:04.003	41m 16s	22m 17s	767.0%	8.3 GB	9.4 GB	190 GB	198.5 GB
27	76/b1e16d	621866	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:02.542	41m 23s	41m 6s	404.8%	5 GB	8 GB	190.2 GB	198.6 GB
95	6b/6bf388	621935	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:15;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:05.053	43m 50s	18m 21s	950.4%	9.2 GB	11.4 GB	190 GB	198.5 GB
69	e0/3bf3e0	621909	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:11;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:04.021	43m 56s	23m 30s	732.3%	9.1 GB	11.1 GB	190 GB	198.5 GB
70	be/afe9ff	621910	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:11;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:13:04.046	44m 21s	23m 21s	738.8%	10.9 GB	12.5 GB	190 GB	198.5 GB
104	a5/48f88d	622016	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:17;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:33:55.109	23m 30s	23m 20s	733.8%	11.1 GB	12.4 GB	190.6 GB	198.6 GB
11	9d/be8600	621850	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:21GB)	FAILED	137	2022-02-19 16:13:01.435	49m 9s	27m 5s	-	-	-	-	-
106	02/c24f9c	622017	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:17;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:33:55.164	33m 45s	18m 41s	930.9%	7.6 GB	9 GB	190.2 GB	198.5 GB
31	1b/3c4240	621871	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:13:02.717	55m 48s	34m 47s	483.2%	10.8 GB	12.1 GB	190 GB	198.5 GB
32	84/7ae141	621872	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 16:13:02.749	56m 3s	34m 32s	483.5%	14.7 GB	15.6 GB	190 GB	198.5 GB
33	ef/11621b	621873	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 16:13:02.784	56m 12s	34m 43s	482.4%	12.8 GB	13.8 GB	190 GB	198.5 GB
14	26/96744e	621855	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 16:13:01.950	1h 3s	59m 46s	273.1%	3 GB	7.2 GB	190.2 GB	198.6 GB
15	29/a7a415	621854	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 16:13:01.842	1h 48s	1h 30s	278.8%	7 GB	7.3 GB	190 GB	198.5 GB
34	d9/1ab7f9	621874	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 16:13:02.825	1h 52s	34m 38s	485.6%	16.6 GB	17.3 GB	190 GB	198.5 GB
