task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
87	e8/fb9c21	620979	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 00:59:21.505	50m 51s	50m 40s	444.0%	22.9 GB	24.9 GB	145.1 GB	127.9 GB
84	4d/747baf	620976	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:21.468	51m 36s	51m 27s	441.2%	13.8 GB	16.4 GB	145.2 GB	128 GB
93	2b/705dd8	620984	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:21.623	51m 41s	50m 51s	447.2%	41.2 GB	43.6 GB	145.1 GB	127.9 GB
98	dc/f43b30	620991	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:21.747	52m 41s	51m 19s	443.6%	59.5 GB	63.7 GB	146.1 GB	128.9 GB
90	60/2bc062	620983	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 00:59:21.612	52m 51s	51m 59s	439.3%	32.1 GB	35 GB	146.2 GB	129 GB
96	e4/f8c9c9	620988	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:21.684	53m 26s	52m 24s	429.7%	50.4 GB	55.2 GB	143 GB	125.8 GB
95	8a/eaab7c	620986	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:21.649	54m 21s	53m 25s	447.9%	50.3 GB	55.2 GB	149.7 GB	131.4 GB
92	b0/0ed746	620985	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:21.637	54m 36s	53m 36s	446.7%	41.2 GB	43.6 GB	151.3 GB	133 GB
86	df/5891a8	620978	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 00:59:21.494	54m 41s	54m 32s	445.6%	22.9 GB	24.9 GB	155.8 GB	137.5 GB
89	11/e01305	620981	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 00:59:21.532	54m 41s	53m 54s	448.0%	32.1 GB	35 GB	152.2 GB	133.9 GB
100	11/fb6983	620992	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 00:59:21.770	54m 51s	53m 29s	448.2%	68.6 GB	72.2 GB	151.3 GB	133 GB
99	f1/85e2e6	620990	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:21.711	54m 56s	53m 45s	446.8%	59.4 GB	63.6 GB	152.2 GB	133.9 GB
83	5d/5a8bc4	620974	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:21.419	55m 16s	55m 4s	443.1%	13.8 GB	16.4 GB	156.8 GB	138.5 GB
91	07/335516	620982	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:21.578	59m 16s	58m 32s	440.5%	42 GB	44 GB	180.7 GB	178.3 GB
88	40/318bdc	620980	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 00:59:21.519	1h 11s	59m 25s	440.6%	32.7 GB	35.3 GB	187.1 GB	184.8 GB
97	94/e950dd	620989	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:21.699	1h 16s	59m 4s	444.5%	60.6 GB	64.3 GB	188.4 GB	186 GB
81	9b/643372	620973	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:21.395	1h 3m 6s	1h 2m 55s	420.6%	14.1 GB	16.5 GB	188.4 GB	186.1 GB
85	46/8f5c93	620977	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 00:59:21.481	1h 5m 6s	1h 4m 55s	399.4%	23.4 GB	26.6 GB	184.5 GB	182.2 GB
80	ef/c7f992	620972	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 00:59:21.379	1h 6m 1s	1h 5m 58s	369.8%	4.6 GB	6.7 GB	158 GB	139.7 GB
94	3a/b84a82	620987	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:21.661	1h 9m 36s	1h 8m 32s	385.1%	51.3 GB	55.7 GB	187.1 GB	184.8 GB
82	2d/7e8c24	620975	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 00:59:21.440	1h 19m 56s	1h 19m 44s	288.1%	4.7 GB	6.7 GB	147.5 GB	130.3 GB
79	61/161529	620970	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 00:59:21.322	1h 21m 56s	1h 21m 52s	322.4%	4.7 GB	6.7 GB	189.7 GB	187.3 GB
56	ff/f1c03d	620948	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:20.533	1h 40m 2s	1h 38m 37s	224.8%	25.2 GB	28.3 GB	143 GB	125.8 GB
60	ae/791a1a	620952	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:20.666	1h 41m 22s	1h 39m 55s	224.6%	29.8 GB	32.5 GB	146.1 GB	128.9 GB
45	88/02a2f6	620936	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:20.219	1h 42m 22s	1h 41m 28s	224.0%	6.9 GB	8.9 GB	146.8 GB	129.6 GB
50	aa/256348	620942	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 00:59:20.385	1h 42m 32s	1h 41m 10s	224.5%	16.1 GB	18.2 GB	146.2 GB	129 GB
63	9e/fd4f80	620955	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 00:59:20.780	1h 43m 42s	1h 41m 10s	225.3%	34.3 GB	36.8 GB	145.1 GB	127.9 GB
72	84/a07993	620966	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 00:59:21.189	1h 43m 47s	1h 39m 23s	224.7%	48.1 GB	52.7 GB	139.8 GB	122.5 GB
102	a9/043429	621139	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 01:50:12.604	52m 55s	52m 54s	428.7%	68.6 GB	72.2 GB	145.1 GB	127.9 GB
54	9a/c4cadb	620946	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:20.478	1h 43m 57s	1h 42m 37s	222.5%	20.6 GB	22.5 GB	145.1 GB	127.9 GB
51	85/c137fb	620943	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 00:59:20.405	1h 47m 22s	1h 46m 1s	224.7%	16.1 GB	18.2 GB	155.3 GB	137 GB
57	ba/a8f245	620949	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:20.551	1h 47m 57s	1h 46m 34s	224.6%	25.2 GB	28.2 GB	154.3 GB	136 GB
75	78/24e142	620967	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 00:59:21.203	1h 48m 12s	1h 41m 30s	224.6%	52.6 GB	57 GB	147.1 GB	129.9 GB
66	6a/6ebd27	620958	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 00:59:20.888	1h 48m 27s	1h 45m 23s	216.1%	38.9 GB	41.1 GB	140.6 GB	123.3 GB
53	fd/569f0b	620944	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:20.432	1h 49m 17s	1h 47m 57s	225.0%	20.6 GB	22.5 GB	155.3 GB	137 GB
59	52/1c220a	620951	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:20.637	1h 49m 22s	1h 47m 57s	225.4%	29.8 GB	32.6 GB	158.2 GB	139.9 GB
41	28/65270f	620933	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 00:59:20.157	1h 49m 48s	1h 49m 23s	221.8%	2.3 GB	4.1 GB	158.5 GB	140.2 GB
120	2e/b2df83	621169	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 02:08:57.543	40m 25s	40m 10s	572.4%	7 GB	9.4 GB	147 GB	129.7 GB
103	27/a9f1ef	621141	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 01:51:02.510	58m 30s	58m 29s	438.4%	79.2 GB	81.6 GB	175.5 GB	173.2 GB
119	9e/7d990e	621167	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 02:04:27.534	45m 10s	45m 6s	586.5%	7.1 GB	9.6 GB	188.5 GB	186.1 GB
47	fd/1a8a23	620939	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 00:59:20.322	1h 50m 47s	1h 49m 27s	224.1%	11.5 GB	13.1 GB	158.3 GB	140 GB
62	14/1664ae	620954	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 00:59:20.749	1h 50m 57s	1h 49m 31s	225.1%	34.3 GB	36.8 GB	158.2 GB	139.9 GB
68	bb/586129	620960	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 00:59:20.965	1h 51m 52s	1h 48m 48s	221.6%	43.4 GB	45.4 GB	155.8 GB	137.5 GB
118	da/db18f6	621168	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:7;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 02:05:22.545	45m 50s	45m 38s	544.6%	7 GB	9.4 GB	158.5 GB	140.2 GB
78	d9/365125	620971	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 00:59:21.347	1h 53m 16s	1h 39m 50s	225.2%	57.2 GB	61.2 GB	142.7 GB	125.5 GB
74	ab/951aa1	620965	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 00:59:21.169	1h 54m 27s	1h 47m 45s	224.5%	52.6 GB	57 GB	153 GB	134.7 GB
101	77/88147d	621140	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 01:50:57.522	1h 4m	1h 3m 57s	412.1%	70 GB	72.9 GB	184.5 GB	182.2 GB
69	7b/dce0ce	620961	samtools_coordinate_sort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 00:59:21.065	1h 56m 22s	1h 53m 13s	197.9%	43.5 GB	45.4 GB	141 GB	123.8 GB
77	66/4a0c2b	620968	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 00:59:21.223	1h 56m 42s	1h 49m 8s	221.2%	57.1 GB	61.2 GB	149.3 GB	131 GB
58	69/9e6c1d	620950	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 00:59:20.600	1h 59m 7s	1h 57m 43s	223.4%	30.3 GB	32.9 GB	188.4 GB	186 GB
55	f2/8bc671	620947	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 00:59:20.494	1h 59m 17s	1h 57m 55s	222.6%	25.7 GB	28.6 GB	187.1 GB	184.8 GB
70	45/979843	620963	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 00:59:21.119	1h 59m 22s	1h 55m 23s	222.1%	49 GB	53.2 GB	182.6 GB	180.2 GB
61	3e/7c341b	620953	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 00:59:20.704	1h 59m 27s	1h 58m	222.2%	35 GB	37.2 GB	184.5 GB	182.2 GB
46	59/61bea4	620938	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 00:59:20.263	1h 59m 53s	1h 58m 29s	220.7%	11.7 GB	14 GB	187.7 GB	185.4 GB
64	d5/52f761	620956	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 00:59:20.815	2h 7s	1h 57m 34s	222.3%	39.7 GB	41.5 GB	186.4 GB	184.1 GB
52	b8/1fa074	620945	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 00:59:20.447	2h 12s	1h 58m 51s	220.5%	21 GB	22.7 GB	186.4 GB	184.1 GB
42	e3/f6bb93	620935	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:3;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:20.197	2h 38s	1h 59m 42s	218.8%	7.1 GB	8.9 GB	188.4 GB	186.1 GB
44	6b/8d15bc	620937	samtools_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:3;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 00:59:20.239	2h 48s	1h 59m 52s	203.4%	6.9 GB	8.9 GB	158.3 GB	140 GB
121	ad/64abac	621170	samtools_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:7;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 02:19:17.673	41m 5s	40m 59s	642.9%	21.1 GB	23.3 GB	186.5 GB	184.1 GB
