task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
4	e3/fcf1e7	630041	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-24 18:42:42.921	18m 54s	18m 50s	-	-	-	-	-	-	-
3	d9/38fa1b	630040	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-24 18:42:42.726	27m 44s	27m 40s	-	-	-	-	-	-	-
17	3f/8e7abc	630055	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.851	1h 42m 43s	1h 42m 37s	98.2%	5.8 GB	1.1%	5.8 GB	7.2 GB	136.9 GB	120 GB
6	70/9edcc1	630043	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.184	1h 43m 44s	1h 43m 43s	97.1%	1.2 GB	0.2%	1.2 GB	2.5 GB	138.1 GB	121.2 GB
30	7c/dfff6c	630066	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 18:42:45.483	1h 43m 42s	1h 43m 37s	98.1%	12.6 GB	2.5%	12.6 GB	14.6 GB	136.3 GB	119.5 GB
22	5a/d30754	630059	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.222	1h 43m 47s	1h 43m 43s	98.2%	8 GB	1.6%	8 GB	9.6 GB	136.6 GB	119.7 GB
27	a1/876563	630064	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.406	1h 44m 22s	1h 44m 18s	98.2%	10.3 GB	2.0%	10.3 GB	11.7 GB	137.8 GB	120.9 GB
10	1a/0377d1	630047	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:43.792	1h 44m 49s	1h 44m 41s	98.0%	3.5 GB	0.7%	3.5 GB	5 GB	138 GB	121.1 GB
8	71/e981f3	630051	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:44.249	1h 58m 38s	1h 58m 36s	98.2%	3.5 GB	0.7%	3.5 GB	5 GB	180.8 GB	178.6 GB
20	8a/c9a867	630057	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.091	1h 58m 38s	1h 58m 32s	98.4%	8.2 GB	1.6%	8.2 GB	9.7 GB	180.8 GB	178.6 GB
5	6b/2bd99b	630045	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.522	1h 59m 4s	1h 59m	97.5%	1.2 GB	0.2%	1.2 GB	2.5 GB	181.5 GB	179.2 GB
23	55/73a24f	630060	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.253	2h 2s	2h	98.3%	10.5 GB	2.1%	10.5 GB	12.6 GB	180.8 GB	178.6 GB
14	36/fab013	630061	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:45.295	2h 7s	2h 2s	98.2%	5.9 GB	1.2%	5.9 GB	7.6 GB	180.8 GB	178.6 GB
18	d4/721541	630054	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.727	2h 16m 48s	2h 16m 44s	99.0%	8.9 GB	1.8%	8.9 GB	9.4 GB	147.9 GB	144.3 GB
9	5a/4c9e33	630052	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:44.383	2h 18m 53s	2h 18m 47s	98.6%	6 GB	1.2%	6 GB	8.2 GB	148 GB	144.4 GB
25	86/5ef6fa	630068	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.560	2h 19m 7s	2h 19m 1s	99.0%	9 GB	1.8%	9.2 GB	12.5 GB	147.8 GB	144.3 GB
29	62/b2931b	630075	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 19:10:27.226	1h 58m 20s	1h 58m 16s	98.5%	12.9 GB	2.6%	12.9 GB	14.8 GB	178.8 GB	176.5 GB
